id,villeLowerCase,zipCode,long,lat
6419,plaimpied givaudins,18340,2.45,47
6420,reigny,18270,2.75,47.3
6421,la chapelle saint ursin,18570,2.31667,47.0667
6422,chavannes,18190,2.375,46.85
6423,mereau,18120,2.05,47.1667
6424,vouzeron,18330,2.23333,47.2667
6425,quincy,18120,2.16667,47.1333
6426,verdigny,18300,2.81667,47.35
6427,saint hilaire de court,18100,2.01667,47.2167
6428,villequiers,18800,2.8,47.0667
6429,morlac,18170,2.31667,46.7167
6430,chassy,18800,2.85,47.05
6431,saint ceols,18220,2.63333,47.2167
6432,chaumoux marcilly,18140,2.78333,47.1167
6433,chery,18120,2.05,47.1167
6434,cogny,18130,2.63333,46.85
6435,gracay,18310,1.85,47.1333
6436,saint jeanvrin,18370,2.23333,46.5833
6437,villegenon,18260,2.6,47.4333
6438,barlieu,18260,2.63333,47.4833
6439,ivoy le pre,18380,2.48333,47.35
6440,couy,18140,2.83333,47.1167
6441,veaugues,18300,2.75,47.25
6442,sainte gemme en sancerrois,18240,2.81639,47.3939
6443,bengy sur craon,18520,2.75,47
6444,allogny,18110,2.31667,47.2167
6445,sidiailles,18270,2.31667,46.5
6446,dampierre en gracay,18310,1.95,47.1833
6447,serruelles,18190,2.38333,46.8833
6448,chezal benoit,18160,2.11667,46.8333
6449,saint michel de volangis,18390,2.5,47.15
6450,la celette,18360,2.51667,46.65
6451,saint georges sur la pree,18100,1.93333,47.2167
6452,farges en septaine,18800,2.65,47.0667
6453,sainte thorette,18500,2.2,47.0833
6454,gardefort,18300,2.83333,47.2667
6455,saint martin des champs,18140,2.91667,47.15
6456,sury en vaux,18300,2.8,47.3667
6457,genouilly,18310,1.88333,47.1833
6458,vailly sur sauldre,18260,2.65,47.45
6459,baugy,18800,2.73333,47.0833
6460,saint bouize,18300,2.88333,47.2833
6461,flavigny,18350,2.80111,46.9675
6462,saulzais le potier,18360,2.5,46.6
6463,mehun sur yevre,18500,2.21667,47.15
6464,ainay le vieil,18200,2.55,46.6667
6465,la guerche sur l aubois,18150,2.95,46.95
6466,foecy,18500,2.16667,47.1667
6467,farges allichamps,18200,2.41667,46.7667
6468,poisieux,18290,2.09806,47.0292
6469,trouy,18570,2.35,47.0167
6470,sens beaujeu,18300,2.7,47.3167
6471,blancafort,18410,2.53333,47.5333
6472,sennecay,18340,2.45,46.95
6473,nozieres,18200,2.43333,46.7333
6474,sagonne,18600,2.83333,46.85
6475,vornay,18130,2.58333,46.9667
6476,sancoins,18600,2.91667,46.8333
6477,augy sur aubois,18600,2.85,46.7833
6478,saint pierre les etieux,18210,2.61667,46.7333
6479,lunery,18400,2.26667,46.9333
6480,ennordres,18380,2.38333,47.4333
6481,arcay,18340,2.35,46.95
6482,neuilly en sancerre,18250,2.68333,47.3
6483,neuilly en dun,18600,2.78333,46.8
6484,grossouvre,18600,2.93333,46.8667
6485,belleville sur loire,18240,2.85056,47.5062
6486,limeux,18120,2.11667,47.0667
6487,blet,18350,2.73333,46.9
6488,orval,18200,2.48333,46.7333
6489,assigny,18260,2.75,47.4333
6490,montigny,18250,2.68111,47.2395
6491,germigny l exempt,18150,2.9,46.9167
6492,colombiers,18200,2.53333,46.7
6493,vignoux sous les aix,18110,2.46667,47.1833
6494,charly,18350,2.75,46.9
6495,sainte montaine,18700,2.31667,47.4833
6496,marseilles les aubigny,18320,3.01306,47.0675
6497,ineuil,18160,2.3,46.7833
6498,saint caprais,18400,2.3,46.9667
6499,saint palais,18110,2.41667,47.2333
6500,humbligny,18250,2.66667,47.25
6501,saint hilaire de gondilly,18320,2.86667,47.05
6502,rezay,18170,2.18333,46.6833
6503,savigny en sancerre,18240,2.81667,47.4333
6504,saint hilaire en lignieres,18160,2.16667,46.7333
6505,mareuil sur arnon,18290,2.16667,46.8833
6506,osmery,18130,2.65,46.9333
6507,cuffy,18150,3.05,46.95
6508,vignoux sur barangeon,18500,2.18333,47.2167
6509,saint priest la marche,18370,2.16667,46.45
6510,ignol,18350,2.85,46.9667
6511,lury sur arnon,18120,2.05,47.1167
6512,azy,18220,2.71667,47.1833
6513,les aix d angillon,18220,2.56667,47.2
6514,savigny en septaine,18390,2.55,47.0333
6515,raymond,18130,2.68333,46.9667
6516,garigny,18140,2.9,47.0833
6517,la celle conde,18160,2.18333,46.8
6518,apremont sur allier,18150,3.04778,46.9059
6519,saint saturnin,18370,2.23333,46.5
6520,la chapelle d angillon,18380,2.43333,47.3667
6521,saligny le vif,18800,2.76667,47.05
6522,montlouis,18160,2.23333,46.8167
6523,verneuil,18210,2.6,46.8167
6524,torteron,18320,2.96667,47.0167
6525,soye en septaine,18340,2.5,47.0333
6526,nancay,18330,2.2,47.35
6527,saint denis de palin,18130,2.53333,46.9333
6528,contres,18130,2.5,46.8667
6529,cours les barres,18320,3.03333,47.0167
6530,ids saint roch,18170,2.25,46.7167
6531,thauvenay,18300,2.86667,47.3167
6532,henrichemont,18250,2.53333,47.3
6533,chateaumeillant,18370,2.2,46.5667
6534,marcais,18170,2.36667,46.7
6535,oizon,18700,2.51667,47.4667
6536,thenioux,18100,1.93333,47.25
6537,presly,18380,2.35,47.3833
6538,nohant en gout,18390,2.56667,47.1
6539,le noyer,18260,2.68084,47.3842
6540,charost,18290,2.13333,46.9833
6541,feux,18300,2.86667,47.2333
6542,aubinges,18220,2.58333,47.2167
6543,crosses,18340,2.58333,47.0167
6544,le subdray,18570,2.3,47.0167
6545,saint ambroix,18290,2.11667,46.9333
6546,cerbois,18120,2.1,47.1167
6547,epineuil le fleuriel,18360,2.58333,46.55
6548,osmoy,18390,2.51667,47.0667
6549,jussy le chaudrier,18140,2.93333,47.1167
6550,fussy,18110,2.43333,47.15
6551,saint germain du puy,18390,2.48333,47.1
6552,allouis,18500,2.23333,47.1667
6553,menetou ratel,18300,2.75,47.35
6554,saint outrille,18310,1.8409,47.1439
6555,jouet sur l aubois,18320,3,47.05
6556,mery sur cher,18100,1.98333,47.2333
6557,lapan,18340,2.3,46.9167
6558,pigny,18110,2.43333,47.1833
6559,venesmes,18190,2.31667,46.8333
6560,marmagne,18500,2.28333,47.1
6561,brinay,18120,2.13333,47.15
6562,annoix,18340,2.55,46.95
6563,brinon sur sauldre,18410,2.25,47.5667
6564,chateauneuf sur cher,18190,2.31667,46.85
6565,lere,18240,2.86667,47.4667
6566,maisonnais,18170,2.2,46.6333
6567,morthomiers,18570,2.26667,47.0333
6568,la chapelle hugon,18150,2.95,46.9
6569,saint leger le petit,18140,3,47.1167
6570,santranges,18240,2.76667,47.5
6571,nerondes,18350,2.83333,47
6572,thou,18260,2.66084,47.4253
6573,tendron,18350,2.85,46.9667
6574,saint satur,18300,2.85,47.3333
6575,loye sur arnon,18170,2.38333,46.65
6576,le chatelet,18170,2.28333,46.6333
6577,clemont,18410,2.3,47.5667
6578,jussy champagne,18130,2.65,46.9833
6579,boulleret,18240,2.86667,47.4167
6580,saint christophe le chaudry,18270,2.36667,46.5833
6581,mornay sur allier,18600,3.03333,46.8167
6582,avord,18520,2.65,47.0333
6583,sevry,18140,2.81667,47.1333
6584,saint georges sur moulon,18110,2.43333,47.1833
6585,brecy,18220,2.61667,47.1167
6586,preveranges,18370,2.25,46.4333
6587,nohant en gracay,18310,1.88333,47.1333
6588,saint baudel,18160,2.21667,46.8333
6589,saint florent sur cher,18400,2.25,46.9833
6590,arpheuilles,18200,2.56667,46.7833
6591,plou,18290,2.13333,47.0333
6592,ourouer les bourdelins,18350,2.81667,46.9167
6593,dun sur auron,18130,2.56667,46.8833
6594,saint georges de poisieux,18200,2.48333,46.6833
6595,bannegon,18210,2.71667,46.8
6596,vesdun,18360,2.43333,46.5333
6597,saint aignan des noyers,18600,2.81667,46.7667
6598,lantan,18130,2.66667,46.9
6599,thaumiers,18210,2.65,46.8167
6600,vallenay,18190,2.38333,46.7833
6601,menetreol sur sauldre,18700,2.31667,47.45
6602,saint vitte,18360,2.53333,46.5333
6603,couargues,18300,2.91667,47.3
6604,herry,18140,2.95,47.2167
6605,neuvy sur barangeon,18330,2.25,47.3167
6606,massay,18120,2,47.15
6607,laverdines,18800,2.78333,47.0333
6608,parassy,18220,2.55,47.2333
6609,vereaux,18600,2.88333,46.8833
6610,sancerre,18300,2.83333,47.3333
6611,subligny,18260,2.75,47.4
6612,lugny champagne,18140,2.81667,47.2
6613,menetreol sous sancerre,18300,2.86667,47.3167
6614,bussy,18130,2.63333,46.9
6615,vinon,18300,2.83333,47.2833
6616,beddes,18370,2.2,46.6
6617,vasselay,18110,2.4,47.1667
6618,saugy,18290,2.13333,46.9667
6619,sainte lunaise,18340,2.35,46.9333
6620,orcenais,18200,2.43333,46.7167
6621,chalivoy milon,18130,2.7,46.8667
6622,bourges,18000,2.4,47.0833
6623,aubigny sur nere,18700,2.43333,47.4833
6624,quantilly,18110,2.45,47.2333
6625,jars,18260,2.68333,47.4
6626,villeneuve sur cher,18400,2.21667,47.0333
6627,crezancy en sancerre,18300,2.74389,47.3053
6628,villabon,18800,2.68333,47.1
6629,acheres,18250,2.46667,47.2833
6630,vernais,18210,2.71667,46.7667
6631,lazenay,18120,2.05833,47.075
6632,neuvy le barrois,18600,3.05,46.8667
6633,saint just,18340,2.51667,46.9833
6634,mornay berry,18350,2.88333,47.05
6635,la perche,18200,2.56667,46.65
6636,primelles,18400,2.21667,46.9
6637,sainte solange,18220,2.55,47.1333
6638,civray,18290,2.16667,46.9667
6639,meillant,18200,2.5,46.7833
6640,cornusse,18350,2.73333,46.95
6641,la celle,18200,2.45,46.7667
6642,villecelin,18160,2.18333,46.8333
6643,touchay,18160,2.21667,46.7167
6644,bouzais,18200,2.48333,46.7
6645,dampierre en crot,18260,2.58333,47.4667
6646,saint symphorien,18190,2.31667,46.8167
6647,saint laurent,18330,2.20195,47.225
6648,bruere allichamps,18200,2.45,46.7667
6649,sancergues,18140,2.91667,47.15
6650,sury es bois,18260,2.7,47.4667
6651,groises,18140,2.8,47.2
6652,argent sur sauldre,18410,2.45,47.55
6653,beffes,18320,3.01667,47.1
6654,crezancay sur cher,18190,2.36667,46.8167
6655,charenton du cher,18210,2.65,46.7333
6656,turenne,19500,1.58333,45.05
6657,bort les orgues,19110,2.5,45.4
6658,beyssac,19230,1.4,45.3667
6659,saint pantaleon de lapleau,19160,2.2,45.3167
6660,chasteaux,19600,1.46667,45.1
6661,chanteix,19330,1.63333,45.3
6662,neuvic,19160,2.28333,45.3833
6663,saint bonnet elvert,19380,1.91667,45.1667
6664,vignols,19130,1.4,45.3167
6665,lamongerie,19510,1.56667,45.5333
6666,chabrignac,19350,1.33333,45.3167
6667,moustier ventadour,19300,2.11667,45.4
6668,gros chastang,19320,1.98333,45.2167
6669,saint cernin de larche,19600,1.41667,45.1
6670,davignac,19250,2.1,45.4833
6671,saillac,19500,1.63333,45.0333
6672,affieux,19260,1.75,45.5167
6673,saint sulpice les bois,19250,2.15,45.6167
6674,saint bonnet avalouze,19150,1.83195,45.2562
6675,veyrieres,19200,2.39306,45.4903
6676,roche le peyroux,19160,2.36667,45.4333
6677,lagrauliere,19700,1.63333,45.35
6678,chapelle spinasse,19300,2.04195,45.3587
6679,perpezac le blanc,19310,1.33333,45.2167
6680,sainte fereole,19270,1.58333,45.2333
6681,saint cyprien,19130,1.35,45.25
6682,favars,19330,1.66667,45.2667
6683,palazinges,19190,1.7,45.15
6684,serandon,19160,2.35,45.3667
6685,darnets,19300,2.11111,45.4262
6686,saint pardoux l ortigier,19270,1.56667,45.3
6687,lagleygeolle,19500,1.7,45.0833
6688,saint aulaire,19130,1.36667,45.2333
6689,saint julien le pelerin,19430,2.1,45.0167
6690,collonges la rouge,19500,1.655,45.0609
6691,naves,19460,1.76667,45.3167
6692,espagnac,19150,1.9,45.2333
6693,monceaux sur dordogne,19400,1.91667,45.0833
6694,varetz,19240,1.45,45.2
6695,saint bonnet pres bort,19200,2.41667,45.5
6696,queyssac les vignes,19120,1.76667,44.9667
6697,toy viam,19170,1.93333,45.65
6698,le chastang,19190,1.73333,45.1833
6699,mestes,19200,2.31667,45.5
6700,dampniat,19360,1.63333,45.1667
6701,valiergues,19200,2.3,45.4833
6702,saint hilaire luc,19160,2.2,45.3667
6703,yssandon,19310,1.36667,45.2
6704,saint paul,19150,1.9,45.2167
6705,saint privat,19220,2.1,45.1333
6706,vitrac sur montane,19800,1.95,45.3833
6707,noailhac,19500,1.6,45.0833
6708,camps saint mathurin leobazel,19430,1.98972,44.9828
6709,saint pardoux le neuf,19200,2.32861,45.6139
6710,tulle,19000,1.76667,45.2667
6711,soursac,19550,2.2,45.2833
6712,le lonzac,19470,1.71667,45.4667
6713,clergoux,19320,1.98333,45.2833
6714,chartrier ferriere,19600,1.43333,45.0667
6715,peret bel air,19300,2.05,45.4833
6716,sioniac,19120,1.81667,44.9833
6717,lafage sur sombre,19320,2.08333,45.3
6718,saint mexant,19330,1.65,45.2833
6719,objat,19130,1.41667,45.2667
6720,millevaches,19290,2.1,45.65
6721,darazac,19220,2.1,45.1833
6722,arnac pompadour,19230,1.36667,45.4167
6723,alleyrat,19200,2.21472,45.577
6724,lascaux,19130,1.36667,45.3333
6725,saint sornin lavolps,19230,1.36667,45.3833
6726,thalamy,19200,2.46667,45.5167
6727,les angles sur correze,19000,1.8,45.3
6728,saint angel,19200,2.23333,45.5
6729,sainte fortunade,19490,1.76667,45.2
6730,lostanges,19500,1.76667,45.0667
6731,la roche canillac,19320,1.96667,45.2
6732,saint germain les vergnes,19330,1.63333,45.2667
6733,hautefage,19400,2.01667,45.0833
6734,uzerche,19140,1.56667,45.4167
6735,reygade,19430,1.91667,45.0167
6736,argentat,19400,1.93333,45.1
6737,lestards,19170,1.86667,45.5167
6738,la chapelle saint geraud,19430,1.96667,45.0333
6739,soudeilles,19300,2.08333,45.45
6740,nespouls,19600,1.5,45.05
6741,curemonte,19500,1.75,45
6742,saint julien maumont,19500,1.78333,45.0333
6743,menoire,19190,1.8,45.1
6744,jugeals nazareth,19500,1.55,45.0833
6745,troche,19230,1.43333,45.3833
6746,chaveroche,19200,2.25,45.5833
6747,le pescher,19190,1.73333,45.0833
6748,saint salvadour,19700,1.76667,45.3833
6749,astaillac,19120,1.83333,44.95
6750,eyburie,19140,1.63333,45.45
6751,egletons,19300,2.05,45.4
6752,confolent port dieu,19200,2.51667,45.55
6753,masseret,19510,1.51667,45.5333
6754,orgnac sur vezere,19410,1.43333,45.3333
6755,soudaine lavinadiere,19370,1.73333,45.55
6756,la chapelle aux saints,19120,1.71667,44.9833
6757,peyrissac,19260,1.68333,45.5
6758,saint clement,19700,1.68333,45.3333
6759,serilhac,19190,1.73333,45.1
6760,sadroc,19270,1.55,45.2833
6761,puy d arnac,19120,1.8,45.0333
6762,aix,19200,2.38333,45.6167
6763,correze,19800,1.88333,45.3667
6764,segonzac,19310,1.26667,45.2667
6765,chamboulive,19450,1.7,45.4333
6766,ayen,19310,1.31667,45.25
6767,saint pardoux la croisille,19320,1.98333,45.25
6768,ussac,19270,1.61667,45.1167
6769,conceze,19350,1.35,45.35
6770,monestier merlines,19340,2.48333,45.65
6771,gimel les cascades,19800,1.85056,45.2995
6772,saint germain lavolps,19290,2.21667,45.6167
6773,saint hilaire peyroux,19560,1.65,45.2167
6774,sarran,19800,1.95,45.4167
6775,rilhac xaintrie,19220,2.2,45.1667
6776,louignac,19310,1.26667,45.2167
6777,cornil,19150,1.68333,45.2167
6778,saint martin la meanne,19320,1.98333,45.1667
6779,venarsal,19360,1.61667,45.2
6780,saint ybard,19140,1.53333,45.45
6781,lagarde enval,19150,1.81667,45.1833
6782,condat sur ganaveix,19140,1.6,45.4667
6783,bellechassagne,19290,2.23333,45.65
6784,veix,19260,1.83333,45.5167
6785,sexcles,19430,2.01667,45.05
6786,meilhards,19510,1.65,45.55
6787,chauffour sur vell,19500,1.66667,45.0167
6788,chanac les mines,19150,1.81667,45.2667
6789,courteix,19340,2.35,45.65
6790,juillac,19350,1.31667,45.3167
6791,perols sur vezere,19170,1.98333,45.5833
6792,saint frejoux,19200,2.38333,45.5333
6793,merlines,19340,2.46084,45.6473
6794,saint eloy les tuileries,19210,1.28333,45.45
6795,saint chamant,19380,1.9,45.1333
6796,liginiac,19160,2.33334,45.4153
6797,lacelle,19170,1.81667,45.65
6798,beaumont,19390,1.8025,45.4223
6799,auriac,19220,2.16667,45.2
6800,saint cirgues la loutre,19220,2.11667,45.0833
6801,saint remy,19290,2.28333,45.65
6802,beyssenac,19230,1.26667,45.4
6803,gourdon murat,19170,1.9,45.5333
6804,segur le chateau,19230,1.31667,45.4333
6805,saint bonnet les tours de merle,19430,2.08333,45.0667
6806,seilhac,19700,1.71667,45.3667
6807,brivezac,19120,1.85,45.0333
6808,feyt,19340,2.48333,45.7
6809,bar,19800,1.81667,45.35
6810,brignac la plaine,19310,1.33333,45.1833
6811,le jardin,19300,2.05,45.3167
6812,l eglise aux bois,19170,1.8,45.65
6813,chamberet,19370,1.71667,45.5833
6814,champagnac la noaille,19320,2.01667,45.3167
6815,lanteuil,19190,1.66667,45.1333
6816,pradines,19170,1.91667,45.5167
6817,rosiers de juillac,19350,1.3,45.3
6818,montgibaud,19210,1.41667,45.5167
6819,voutezac,19130,1.43333,45.2833
6820,perpezac le noir,19410,1.55,45.3167
6821,marcillac la croze,19500,1.75,45.0333
6822,peyrelevade,19290,2.06667,45.7
6823,aubazines,19190,1.67,45.1742
6824,espartignac,19140,1.6,45.4167
6825,saint sylvain,19380,1.88333,45.1833
6826,saint merd les oussines,19170,2.05,45.6333
6827,maussac,19250,2.15,45.4833
6828,pandrignes,19150,1.85,45.2333
6829,meymac,19250,2.16667,45.5333
6830,albignac,19190,1.68333,45.1333
6831,salon la tour,19510,1.53333,45.5
6832,saint martin sepert,19210,1.46667,45.4333
6833,estivals,19600,1.46667,45.0333
6834,sarroux,19110,2.43333,45.4167
6835,eygurande,19340,2.46667,45.6667
6836,latronche,19160,2.23333,45.3
6837,saint julien pres bort,19110,2.4,45.4167
6838,eyrein,19800,1.95,45.3333
6839,monestier port dieu,19110,2.51667,45.5
6840,larche,19600,1.41667,45.1167
6841,saint bazile de la roche,19320,1.96667,45.1667
6842,saint hilaire taurieux,19400,1.85,45.0667
6843,beaulieu sur dordogne,19120,1.83333,44.9833
6844,saint bonnet la riviere,19130,1.36667,45.3
6845,forges,19380,1.88333,45.1667
6846,saint cyr la roche,19130,1.4,45.2667
6847,lignareix,19200,2.3,45.6167
6848,saint pantaleon de larche,19600,1.45,45.1333
6849,saint setiers,19290,2.13333,45.7
6850,tudeils,19120,1.8,45.05
6851,albussac,19380,1.83333,45.1333
6852,allassac,19240,1.48333,45.25
6853,tarnac,19170,1.95,45.6833
6854,saint augustin,19390,1.83333,45.4167
6855,meyrignac l eglise,19800,1.85,45.4
6856,beynat,19190,1.72333,45.1245
6857,saint exupery les roches,19200,2.38333,45.5167
6858,sornac,19290,2.2,45.6667
6859,saint pardoux corbier,19210,1.45,45.4333
6860,branceilles,19500,1.7,45.0167
6861,ussel,19200,2.31667,45.55
6862,saint yrieix le dejalat,19300,1.96667,45.45
6863,vigeois,19410,1.51667,45.3833
6864,saint geniez o merle,19220,2.08333,45.0667
6865,lamaziere basse,19160,2.16667,45.3667
6866,saint etienne la geneste,19160,2.35,45.45
6867,saint julien le vendomois,19210,1.31667,45.4667
6868,liourdres,19120,1.8,44.9333
6869,benayes,19510,1.46667,45.5167
6870,combressol,19250,2.16667,45.4833
6871,saint jal,19700,1.63333,45.4
6872,orliac de bar,19390,1.8,45.3667
6873,couffy sur sarsonne,19340,2.33333,45.6667
6874,saint priest de gimel,19800,1.86667,45.3
6875,ladignac sur rondelles,19150,1.83778,45.2337
6876,montaignac saint hippolyte,19300,2.01667,45.35
6877,lamaziere haute,19340,2.4,45.6667
6878,madranges,19470,1.78333,45.4833
6879,saint merd de lapleau,19320,2.08333,45.2667
6880,altillac,19120,1.86667,44.9667
6881,estivaux,19410,1.48333,45.3167
6882,mansac,19520,1.38333,45.1667
6883,rosiers d egletons,19300,2.01667,45.3833
6884,treignac,19260,1.8,45.5333
6885,nonards,19120,1.8,45.0333
6886,chirac bellevue,19160,2.31667,45.45
6887,saint hilaire foissac,19550,2.13333,45.3333
6888,saint bonnet l enfantier,19410,1.51667,45.3
6889,laval sur luzege,19550,2.15,45.2333
6890,palisse,19160,2.21667,45.4167
6891,la chapelle aux brocs,19360,1.61667,45.15
6892,laguenne,19150,1.78333,45.2333
6893,saint martial de gimel,19150,1.86667,45.2667
6894,laroche pres feyt,19340,2.51667,45.7
6895,ambrugeat,19250,2.13333,45.5333
6896,marcillac la croisille,19320,2.03333,45.2833
6897,saint viance,19240,1.45,45.2167
6898,gumond,19320,1.98333,45.2167
6899,sainte marie lapanouze,19160,2.35,45.4333
6900,lapleau,19550,2.16667,45.2833
6901,lubersac,19210,1.4,45.45
6902,saint bazile de meyssac,19500,1.73333,45.05
6903,champagnac la prune,19320,1.98333,45.1833
6904,donzenac,19270,1.53333,45.2333
6905,saint robert,19310,1.3,45.25
6906,chavanac,19290,2.1,45.6333
6907,chaumeil,19390,1.88167,45.4564
6908,malemort sur correze,19360,1.55,45.1667
6909,cosnac,19360,1.6,45.1333
6910,saint etienne aux clos,19200,2.46667,45.5667
6911,brive la gaillarde,19100,1.53333,45.15
6912,noailles,19600,1.53333,45.1
6913,rilhac treignac,19260,1.66667,45.5333
6914,mercoeur,19430,1.95,45.0167
6915,saint victour,19200,2.38333,45.4667
6916,saint pardoux le vieux,19200,2.28333,45.6167
6917,saint julien aux bois,19220,2.13333,45.1333
6918,servieres le chateau,19220,2.03333,45.1333
6919,pierrefitte,19450,1.61667,45.4167
6920,meyssac,19500,1.66667,45.05
6921,chameyrat,19330,1.7,45.2333
6922,bugeat,19170,1.93333,45.6
6923,saint hilaire les courbes,19170,1.83333,45.6
6924,viam,19170,1.88333,45.6
6925,vars sur roseix,19130,1.36667,45.25
6926,saint martial entraygues,19400,1.98333,45.1167
6927,vegennes,19120,1.75,44.9833
6928,ligneyrac,19500,1.61667,45.05
6929,goulles,19430,2.08333,45.05
6930,grandsaigne,19300,1.93333,45.4833
6931,neuville,19380,1.83333,45.1167
6932,saint solve,19130,1.4,45.3
6933,bilhac,19120,1.78333,44.95
6934,bassignac le haut,19220,2.06667,45.2167
6935,lissac sur couze,19600,1.46667,45.1
6936,margerides,19200,2.4,45.45
6937,bassignac le bas,19430,1.86667,45.0167
6938,bonnefond,19170,1.98333,45.5333
6939,cublac,19520,1.31667,45.15
6940,chenailler mascheix,19120,1.84,45.0545
6941,marc la tour,19150,1.85,45.2
6942,autricourt,21570,4.61977,47.9966
6943,saint seine sur vingeanne,21610,5.43333,47.5167
6944,lery,21440,4.83333,47.5667
6945,marcellois,21350,4.61667,47.35
6946,meuilley,21700,4.88333,47.1333
6947,trugny,21250,5.15,46.9833
6948,saussy,21380,4.95,47.4667
6949,nesle et massoult,21330,4.43333,47.7833
6950,lantenay,21370,4.86667,47.3333
6951,montmoyen,21290,4.8,47.7333
6952,blaisy bas,21540,4.73333,47.3667
6953,venarey les laumes,21150,4.43333,47.5333
6954,trouhans,21170,5.26667,47.15
6955,darois,21121,4.93333,47.3833
6956,lucenay le duc,21150,4.51667,47.6
6957,varanges,21110,5.2,47.2333
6958,semezanges,21220,4.85834,47.2153
6959,viserny,21500,4.28333,47.5667
6960,spoy,21120,5.2,47.45
6961,montigny saint barthelemy,21390,4.26667,47.4167
6962,planay,21500,4.38333,47.75
6963,fleurey sur ouche,21410,4.85,47.3167
6964,busseaut,21510,4.65,47.7333
6965,avosnes,21350,4.65,47.3667
6966,colombier,21360,4.66667,47.1667
6967,charmes,21310,5.35,47.3833
6968,channay,21330,4.33333,47.8833
6969,genay,21140,4.3,47.5333
6970,chazilly,21320,4.58333,47.1833
6971,jailly les moulins,21150,4.6,47.45
6972,gilly les citeaux,21640,4.98333,47.1667
6973,villeberny,21350,4.6,47.4333
6974,chaudenay le chateau,21360,4.65,47.1833
6975,bezouotte,21310,5.33333,47.3833
6976,meloisey,21190,4.73333,47.0333
6977,pouilly sur vingeanne,21610,5.43333,47.5333
6978,saulon la chapelle,21910,5.08333,47.2167
6979,lusigny sur ouche,21360,4.66667,47.0833
6980,bellenod sur seine,21510,4.65,47.7
6981,chaume et courchamp,21610,5.35112,47.5695
6982,saint broing les moines,21290,4.83333,47.6833
6983,villaines les prevotes,21500,4.3,47.55
6984,thorey sur ouche,21360,4.7,47.15
6985,norges la ville,21490,5.06667,47.4
6986,puligny montrachet,21190,4.75,46.95
6987,savigny sous malain,21540,4.76667,47.3333
6988,saulx le duc,21120,5.01667,47.5333
6989,charrey sur seine,21400,4.51278,47.9445
6990,chambolle musigny,21220,4.95,47.1833
6991,clemencey,21220,4.88333,47.25
6992,quincey,21700,4.96667,47.1167
6993,chemin d aisey,21400,4.56667,47.7333
6994,corgoloin,21700,4.91667,47.0833
6995,menessaire,21430,4.15,47.1333
6996,villecomte,21120,5.03333,47.5167
6997,ebaty,21190,4.78333,46.9333
6998,samerey,21170,5.36667,47.0833
6999,voulaines les templiers,21290,4.77806,47.8195
7000,quetigny,21800,5.11667,47.3167
7001,vix,21400,4.55,47.9
7002,saint euphrone,21140,4.38333,47.4833
7003,riel les eaux,21570,4.68333,47.9667
7004,drambon,21270,5.36667,47.3333
7005,la roche en brenil,21530,4.16667,47.3667
7006,marmagne,21500,4.36667,47.6167
7007,breteniere,21110,5.11417,47.2406
7008,poncey sur l ignon,21440,4.76667,47.5
7009,magny montarlot,21130,5.34723,47.2481
7010,montagny les beaune,21200,4.85,46.9833
7011,mesmont,21540,4.75,47.3167
7012,moloy,21120,4.91667,47.5333
7013,beire le chatel,21310,5.2,47.4167
7014,curtil saint seine,21380,4.93333,47.45
7015,saint helier,21690,4.68333,47.3833
7016,couchey,21160,4.98333,47.2667
7017,la motte ternant,21210,4.33333,47.3167
7018,sainte marie la blanche,21200,4.9,46.9833
7019,puits,21400,4.46667,47.7333
7020,quincerot,21500,4.26667,47.6114
7021,chamboeuf,21220,4.9,47.2333
7022,chevigny en valiere,21200,4.96667,46.9667
7023,montbard,21500,4.33333,47.6167
7024,salives,21580,4.9,47.6167
7025,corgengoux,21250,5,46.9833
7026,maconge,21320,4.58333,47.2
7027,broindon,21220,5.05,47.2
7028,montliot et courcelles,21400,4.56667,47.8833
7029,chaudenay la ville,21360,4.65,47.1667
7030,nuits saint georges,21700,4.95,47.1333
7031,izier,21110,5.18333,47.2833
7032,savigny le sec,21380,5.05,47.4333
7033,ancey,21410,4.83333,47.3333
7034,culetre,21230,4.58333,47.15
7035,villiers le duc,21400,4.71667,47.8167
7036,jours en vaux,21340,4.58333,47.05
7037,massingy les vitteaux,21350,4.58333,47.4
7038,marigny le cahouet,21150,4.45,47.4667
7039,verdonnet,21330,4.31667,47.7333
7040,billey,21130,5.43333,47.15
7041,athee,21130,5.36667,47.2333
7042,saint germain de modeon,21530,4.13333,47.3833
7043,vougeot,21640,4.96667,47.1667
7044,tichey,21250,5.28333,47.0167
7045,tailly,21190,4.81667,46.9667
7046,thoste,21460,4.21667,47.4333
7047,coulmier le sec,21400,4.48333,47.75
7048,marcilly et dracy,21350,4.5,47.4
7049,barjon,21580,4.96667,47.6167
7050,vieilmoulin,21540,4.67889,47.3117
7051,cirey les pontailler,21270,5.3,47.3
7052,thorey sous charny,21350,4.45,47.3167
7053,beaumont sur vingeanne,21310,5.36667,47.4667
7054,commarin,21320,4.65,47.25
7055,lamarche sur saone,21760,5.38333,47.2667
7056,menesble,21290,4.9,47.7667
7057,soissons sur nacey,21270,5.45,47.25
7058,villy en auxois,21350,4.63333,47.4167
7059,binges,21270,5.26667,47.3333
7060,maisey le duc,21400,4.66667,47.8333
7061,fixin,21220,4.96667,47.25
