id,villeLowerCase,zipCode,long,lat
156,saint georges sur renon,1400,5.03333,46.1
157,lantenay,1430,5.53333,46.05
158,vernoux,1560,5.11667,46.4833
159,cormaranche en bugey,1110,5.6,45.95
160,sainte euphemie,1600,4.78333,45.9667
161,beaupont,1270,5.26667,46.4
162,brens,1300,5.69473,45.7187
163,ramasse,1250,5.35,46.2
164,divonne les bains,1220,6.13333,46.3667
165,leaz,1200,5.88333,46.1
166,villes,1200,5.78333,46.0833
167,saint julien sur reyssouze,1560,5.11667,46.4
168,groslee,1680,5.56667,45.7167
169,vandeins,1660,5.08333,46.2167
170,verjon,1270,5.35,46.35
171,saint andre sur vieux jonc,1240,5.06667,46.15
172,saint andre d huiriat,1290,4.91667,46.2167
173,grilly,1220,6.11667,46.3333
174,cessy,1170,6.06667,46.3167
175,ordonnaz,1510,5.53333,45.8333
176,vescours,1560,5.03333,46.4667
177,meillonnas,1370,5.35,46.25
178,geovreisset,1100,5.6,46.25
179,ceyzerieu,1350,5.73333,45.8333
180,beard geovreissiat,1460,5.56667,46.2
181,la burbanche,1510,5.56667,45.85
182,perrex,1540,4.98333,46.2333
183,villemotier,1270,5.31667,46.35
184,jasseron,1250,5.33333,46.2167
185,corveissiat,1250,5.48333,46.2333
186,journans,1250,5.33333,46.15
187,sermoyer,1190,4.98333,46.5
188,charix,1130,5.68333,46.1833
189,arbignieu,1300,5.65,45.7333
190,leyssard,1450,5.46667,46.1667
191,saint jean de thurigneux,1390,4.88333,45.95
192,frans,1480,4.78333,45.9833
193,tenay,1230,5.5,45.9167
194,bage la ville,1380,4.95,46.3167
195,montmerle sur saone,1090,4.76667,46.0833
196,courmangoux,1370,5.36667,46.3333
197,baneins,1990,4.9,46.1167
198,lagnieu,1150,5.35,45.9
199,attignat,1340,5.16667,46.2833
200,saint andre de bage,1380,4.91667,46.3
201,pont de vaux,1190,4.93333,46.4333
202,amberieu en bugey,1500,5.35,45.95
203,peyzieux sur saone,1140,4.81667,46.1167
204,crozet,1170,6.01251,46.2806
205,seyssel,1420,5.83194,45.9597
206,beynost,1700,5,45.8333
207,versonnex,1210,6.09723,46.3023
208,saint laurent sur saone,1620,4.83333,46.3
209,artemare,1510,5.7,45.8667
210,montracol,1310,5.11667,46.1833
211,parves,1300,5.75,45.75
212,pugieu,1510,5.65,45.8167
213,virieu le grand,1510,5.65,45.85
214,saint remy,1310,5.16667,46.1833
215,rance,1390,4.86667,45.9667
216,grieges,1290,4.85,46.25
217,grand corent,1250,5.43333,46.2
218,outriaz,1430,5.55,46.0667
219,montagnieu,1470,5.46667,45.8
220,champagne en valromey,1260,5.68333,45.9
221,amberieux en dombes,1330,4.9,46
222,la boisse,1120,5.03333,45.85
223,parcieux,1600,4.81667,45.9167
224,saint didier d aussiat,1340,5.06667,46.3
225,saint nizier le bouchoux,1560,5.15,46.45
226,ars sur formans,1480,4.81667,45.9833
227,anglefort,1350,5.80833,45.9167
228,corlier,1110,5.5,46.0333
229,ferney voltaire,1210,6.11667,46.25
